09/09/2017 00:29:36 - INFORMATION - thuan - Logout successfull
09/09/2017 00:30:11 - INFORMATION - thanh - Request logout
09/09/2017 00:30:11 - INFORMATION - thanh - Logout successfull
09/09/2017 00:44:33 - INFORMATION - Server - Start server
09/09/2017 00:44:52 - INFORMATION - thuan - SignIn successfull
09/09/2017 00:45:10 - INFORMATION - thanh - SignIn successfull
09/09/2017 00:45:48 - INFORMATION - thuan - Request logout
09/09/2017 00:45:48 - INFORMATION - thuan - Logout successfull
09/09/2017 00:45:58 - INFORMATION - thanh - Request logout
09/09/2017 00:45:58 - INFORMATION - thanh - Logout successfull
09/09/2017 00:46:22 - INFORMATION - thuan - SignIn successfull
09/09/2017 00:46:24 - INFORMATION - thuan - Request logout
09/09/2017 00:46:24 - INFORMATION - thuan - Logout successfull
09/09/2017 00:51:21 - INFORMATION - thuan - SignIn successfull
09/09/2017 00:51:23 - INFORMATION - thuan - Request logout
09/09/2017 00:51:23 - INFORMATION - thuan - Logout successfull
09/09/2017 00:52:13 - INFORMATION - thuan - SignIn successfull
09/09/2017 00:52:16 - INFORMATION - thuan - Request logout
09/09/2017 00:52:16 - INFORMATION - thuan - Logout successfull
09/09/2017 00:59:28 - INFORMATION - thuan - SignIn successfull
09/09/2017 00:59:30 - INFORMATION - thuan - Request logout
09/09/2017 00:59:30 - INFORMATION - thuan - Logout successfull
09/09/2017 01:04:29 - INFORMATION - Server - Start server
09/09/2017 01:05:21 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:05:23 - INFORMATION - thuan - Request logout
09/09/2017 01:05:23 - INFORMATION - thuan - Logout successfull
09/09/2017 01:05:44 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:05:46 - INFORMATION - thuan - Request logout
09/09/2017 01:05:46 - INFORMATION - thuan - Logout successfull
09/09/2017 01:07:50 - INFORMATION - Server - Start server
09/09/2017 01:08:07 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:08:08 - INFORMATION - thuan - Request logout
09/09/2017 01:08:08 - INFORMATION - thuan - Logout successfull
09/09/2017 01:08:36 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:08:37 - INFORMATION - thuan - Request logout
09/09/2017 01:08:37 - INFORMATION - thuan - Logout successfull
09/09/2017 01:08:44 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:08:54 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:09:08 - INFORMATION - thuan - Request logout
09/09/2017 01:09:08 - INFORMATION - thuan - Logout successfull
09/09/2017 01:09:13 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:09:17 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:09:19 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:09:37 - INFORMATION - thuan - Request logout
09/09/2017 01:09:37 - INFORMATION - thuan - Logout successfull
09/09/2017 01:12:36 - INFORMATION - Server - Start server
09/09/2017 01:12:55 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:12:58 - INFORMATION - thuan - Request logout
09/09/2017 01:12:58 - INFORMATION - thuan - Logout successfull
09/09/2017 01:13:14 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:13:16 - INFORMATION - thuan - Request logout
09/09/2017 01:13:16 - INFORMATION - thuan - Logout successfull
09/09/2017 01:25:16 - INFORMATION - Server - Start server
09/09/2017 01:25:28 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:25:30 - INFORMATION - thuan - Request logout
09/09/2017 01:25:30 - INFORMATION - thuan - Logout successfull
09/09/2017 01:25:57 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:25:59 - INFORMATION - thuan - Request logout
09/09/2017 01:25:59 - INFORMATION - thuan - Logout successfull
09/09/2017 01:26:04 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:13 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:15 - INFORMATION - thuan - Request logout
09/09/2017 01:26:15 - INFORMATION - thuan - Logout successfull
09/09/2017 01:26:20 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:21 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:22 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:26 - INFORMATION - thuan - Request logout
09/09/2017 01:26:26 - INFORMATION - thuan - Logout successfull
09/09/2017 01:26:32 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:34 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:35 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:36 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:38 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:26:39 - INFORMATION - thuan - Request logout
09/09/2017 01:26:39 - INFORMATION - thuan - Logout successfull
09/09/2017 01:31:58 - INFORMATION - thuan - SignIn fail
09/09/2017 01:32:05 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:10 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:13 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:16 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:18 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:20 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:21 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:22 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:24 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:25 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:27 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:29 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:30 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:32 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:33 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:35 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:36 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:37 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:38 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:40 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:41 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:43 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:44 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:45 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:46 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:48 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:49 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:52 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:54 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:55 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:32:56 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:33:01 - INFORMATION - thuan - SignIn fail
09/09/2017 01:38:28 - INFORMATION - Server - Start server
09/09/2017 01:38:46 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:40:39 - INFORMATION - Server - Start server
09/09/2017 01:40:54 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:40:56 - INFORMATION - thuan - Request logout
09/09/2017 01:40:56 - INFORMATION - thuan - Logout successfull
09/09/2017 01:44:21 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:44:24 - INFORMATION - thuan - Request logout
09/09/2017 01:44:24 - INFORMATION - thuan - Logout successfull
09/09/2017 01:50:03 - INFORMATION - Server - Start server
09/09/2017 01:50:21 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:50:22 - INFORMATION - thuan - Request logout
09/09/2017 01:50:22 - INFORMATION - thuan - Logout successfull
09/09/2017 01:53:02 - INFORMATION - Server - Start server
09/09/2017 01:53:19 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:53:21 - INFORMATION - thuan - Request logout
09/09/2017 01:53:21 - INFORMATION - thuan - Logout successfull
09/09/2017 01:55:23 - INFORMATION - Server - Start server
09/09/2017 01:55:40 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:56:41 - INFORMATION - thuan - Request logout
09/09/2017 01:56:41 - INFORMATION - thuan - Logout successfull
09/09/2017 01:57:27 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:57:29 - INFORMATION - thuan - Request logout
09/09/2017 01:57:29 - INFORMATION - thuan - Logout successfull
09/09/2017 01:57:33 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:57:35 - INFORMATION - thuan - SignIn successfull
09/09/2017 01:57:37 - INFORMATION - thuan - Request logout
09/09/2017 01:57:37 - INFORMATION - thuan - Logout successfull
09/09/2017 02:00:24 - INFORMATION - Server - Start server
09/09/2017 02:00:46 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:00:49 - INFORMATION - thuan - Request logout
09/09/2017 02:00:49 - INFORMATION - thuan - Logout successfull
09/09/2017 02:01:28 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:01:31 - INFORMATION - thuan - Request logout
09/09/2017 02:01:31 - INFORMATION - thuan - Logout successfull
09/09/2017 02:01:38 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:01:54 - INFORMATION - thanh - SignIn successfull
09/09/2017 02:02:23 - INFORMATION - thanh - Request logout
09/09/2017 02:02:23 - INFORMATION - thanh - Logout successfull
09/09/2017 02:02:53 - INFORMATION - thuan - Change password
09/09/2017 02:02:58 - INFORMATION - thuan - Request logout
09/09/2017 02:02:58 - INFORMATION - thuan - Logout successfull
09/09/2017 02:03:03 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:03:06 - INFORMATION - thuan - Request logout
09/09/2017 02:03:06 - INFORMATION - thuan - Logout successfull
09/09/2017 02:03:11 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:03:12 - INFORMATION - thuan - Request logout
09/09/2017 02:03:12 - INFORMATION - thuan - Logout successfull
09/09/2017 02:03:17 - INFORMATION - thuan - SignIn fail
09/09/2017 02:03:20 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:03:39 - INFORMATION - thanh - SignIn successfull
09/09/2017 02:04:26 - INFORMATION - thanh - Request logout
09/09/2017 02:04:26 - INFORMATION - thanh - Logout successfull
09/09/2017 02:04:31 - INFORMATION - thuan - Request logout
09/09/2017 02:04:31 - INFORMATION - thuan - Logout successfull
09/09/2017 02:20:03 - INFORMATION - Server - Start server
09/09/2017 02:20:18 - INFORMATION - thuan - SignIn fail
09/09/2017 02:20:21 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:20:36 - INFORMATION - thanh - SignIn successfull
09/09/2017 02:24:48 - INFORMATION - Server - Start server
09/09/2017 02:25:05 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:26:07 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:26:28 - INFORMATION - thuan - Request logout
09/09/2017 02:26:28 - INFORMATION - thuan - Logout successfull
09/09/2017 02:26:34 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:26:36 - INFORMATION - thuan - Request logout
09/09/2017 02:26:36 - INFORMATION - thuan - Logout successfull
09/09/2017 02:26:51 - INFORMATION - Server - Stop server
09/09/2017 02:37:49 - INFORMATION - Server - Start server
09/09/2017 02:38:14 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:38:30 - INFORMATION - thanh - SignIn successfull
09/09/2017 02:41:54 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:42:09 - INFORMATION - thanh - SignIn successfull
09/09/2017 02:45:50 - INFORMATION - thuan - SignIn successfull
09/09/2017 02:46:01 - INFORMATION - thanh - SignIn successfull
